,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,26.129999,26.129999,24.85,25.790001,25.790001,1262900
1,2021-01-05,26.0,26.24,25.26,25.860001,25.860001,1031900
2,2021-01-06,26.15,27.27,25.860001,26.68,26.68,718500
3,2021-01-07,27.0,28.16,27.0,27.91,27.91,666300
4,2021-01-08,28.110001,28.549999,27.360001,27.870001,27.870001,473000
5,2021-01-11,27.66,28.16,27.02,27.98,27.98,500500
6,2021-01-12,28.129999,28.76,27.870001,28.190001,28.190001,768600
7,2021-01-13,28.33,28.92,27.09,27.16,27.16,570100
8,2021-01-14,28.219999,31.52,27.379999,31.07,31.07,1622300
9,2021-01-15,31.24,33.639999,30.809999,32.389999,32.389999,1927100
10,2021-01-19,32.689999,33.279999,31.16,31.6,31.6,1063000
11,2021-01-20,31.9,32.630001,30.75,31.57,31.57,498300
12,2021-01-21,31.84,31.98,30.66,31.34,31.34,690800
13,2021-01-22,30.67,31.290001,30.43,30.76,30.76,458500
14,2021-01-25,30.780001,33.029999,30.700001,32.98,32.98,615700
15,2021-01-26,34.299999,35.689999,33.57,34.169998,34.169998,1115000
16,2021-01-27,33.459999,37.779999,32.939999,37.299999,37.299999,2226200
17,2021-01-28,37.009998,38.52,34.220001,34.509998,34.509998,1035800
18,2021-01-29,35.040001,37.48,34.619999,34.700001,34.700001,1295800
19,2021-02-01,34.990002,36.259998,33.41,35.610001,35.610001,810200
20,2021-02-02,35.5,37.439999,35.5,36.529999,36.529999,658600
21,2021-02-03,36.48,37.040001,33.93,34.040001,34.040001,776700
22,2021-02-04,35.450001,35.490002,33.82,34.34,34.34,561800
23,2021-02-05,34.73,35.619999,33.919998,35.220001,35.220001,460700
24,2021-02-08,35.240002,35.5,34.630001,34.93,34.93,491600
25,2021-02-09,35.310001,35.310001,33.700001,33.900002,33.900002,509700
26,2021-02-10,34.369999,34.549999,33.09,33.360001,33.360001,662300
27,2021-02-11,33.799999,35.77,33.07,34.400002,34.400002,721700
28,2021-02-12,34.5,35.18,33.07,34.73,34.73,818500
29,2021-02-16,34.330002,35.580002,33.07,33.360001,33.360001,878400
30,2021-02-17,33.23,35.25,32.810001,34.990002,34.990002,889300
31,2021-02-18,34.0,35.34,33.73,34.290001,34.290001,618900
32,2021-02-19,34.139999,35.220001,33.860001,34.720001,34.720001,764200
33,2021-02-22,34.599998,35.610001,34.060001,34.27,34.27,588000
34,2021-02-23,33.09,34.560001,32.02,33.77,33.77,699600
35,2021-02-24,33.84,34.669998,33.48,34.439999,34.439999,402600
36,2021-02-25,34.59,35.259998,32.619999,32.790001,32.790001,523100
37,2021-02-26,33.5,35.240002,32.66,34.709999,34.709999,949600
38,2021-03-01,35.849998,37.07,35.52,36.5,36.5,830000
39,2021-03-02,36.18,36.439999,34.540001,34.610001,34.610001,960000
40,2021-03-03,34.84,34.84,32.950001,33.080002,33.080002,1025200
41,2021-03-04,32.869999,33.919998,31.6,32.43,32.43,1317000
42,2021-03-05,32.950001,34.259998,31.629999,34.0,34.0,967300
43,2021-03-08,33.759998,35.73,33.560001,35.459999,35.459999,823500
44,2021-03-09,35.57,37.59,35.57,37.150002,37.150002,2122100
45,2021-03-10,37.389999,38.849998,37.02,38.43,38.43,1118700
46,2021-03-11,38.98,38.98,37.16,38.57,38.57,1464900
47,2021-03-12,38.18,38.529999,37.150002,38.48,38.48,1357800
48,2021-03-15,38.150002,39.029999,37.130001,39.02,39.02,1280500
49,2021-03-16,39.02,39.119999,37.25,38.169998,38.169998,1562100
50,2021-03-17,37.459999,37.900002,36.389999,37.299999,37.299999,674500
51,2021-03-18,36.040001,38.080002,35.880001,36.549999,36.549999,952500
52,2021-03-19,36.860001,38.029999,36.209999,37.009998,37.009998,2631800
53,2021-03-22,37.650002,38.41,37.23,37.860001,37.860001,445100
54,2021-03-23,37.48,37.48,35.369999,35.52,35.52,498200
55,2021-03-24,35.93,36.630001,33.110001,33.18,33.18,444700
56,2021-03-25,32.880001,34.639999,32.549999,34.48,34.48,860400
57,2021-03-26,34.509998,34.700001,33.25,33.779999,33.779999,412400
58,2021-03-29,33.59,34.259998,32.880001,33.049999,33.049999,422700
59,2021-03-30,32.919998,33.959999,32.360001,33.43,33.43,404100
60,2021-03-31,33.900002,35.830002,33.34,35.299999,35.299999,497900
