,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,11.7,11.77,11.35,11.38,10.936495,7452100
1,2021-01-05,11.35,11.55,11.35,11.46,11.013377,7657400
2,2021-01-06,11.48,11.88,11.48,11.78,11.320906,7457600
3,2021-01-07,11.72,11.77,11.58,11.68,11.224804,5787900
4,2021-01-08,11.64,11.71,11.35,11.5,11.051818,3717700
5,2021-01-11,11.36,11.59,11.36,11.54,11.090259,3775300
6,2021-01-12,11.5,11.69,11.42,11.63,11.176752,4135100
7,2021-01-13,11.57,11.58,11.36,11.43,10.984545,5774300
8,2021-01-14,11.44,11.51,11.34,11.39,10.946106,4375300
9,2021-01-15,11.33,11.33,11.05,11.05,10.619355,6619300
10,2021-01-19,11.14,11.16,10.93,10.95,10.523252,5481900
11,2021-01-20,10.99,11.28,10.92,11.23,10.79234,5634200
12,2021-01-21,11.1,11.32,11.07,11.25,10.811561,5448300
13,2021-01-22,11.18,11.23,10.94,11.09,10.657797,7302100
14,2021-01-25,11.1,11.23,10.86,10.97,10.542473,9073200
15,2021-01-26,11.03,11.26,10.96,11.21,10.77312,5638000
16,2021-01-27,11.03,11.28,10.98,11.06,10.628966,8619700
17,2021-01-28,11.18,11.28,11.09,11.18,10.744289,8100600
18,2021-01-29,11.11,11.12,10.88,10.94,10.513642,14989300
19,2021-02-01,11.02,11.08,10.68,10.89,10.465591,7305300
20,2021-02-02,10.97,11.08,10.83,10.93,10.504032,5353300
21,2021-02-03,11.23,11.3,10.66,11.01,10.580914,11101500
22,2021-02-04,11.13,11.25,10.94,11.18,10.744289,5617900
23,2021-02-05,11.3,11.53,11.3,11.47,11.022987,6154600
24,2021-02-08,11.45,11.53,11.32,11.47,11.022987,6384000
25,2021-02-09,11.39,11.55,11.22,11.24,10.80195,5718400
26,2021-02-10,11.37,11.54,11.32,11.43,10.984545,11574000
27,2021-02-11,11.44,11.45,11.19,11.3,10.859612,5260800
28,2021-02-12,11.2,11.51,11.2,11.5,11.051818,4830600
29,2021-02-16,11.5,11.51,11.24,11.25,10.811561,5397400
30,2021-02-17,11.25,11.38,11.14,11.3,10.859612,5204200
31,2021-02-18,11.31,11.55,11.25,11.42,10.974936,7436300
32,2021-02-19,11.42,11.58,11.32,11.42,10.974936,5913300
33,2021-02-22,11.38,11.47,11.28,11.42,10.974936,6575600
34,2021-02-23,11.38,11.46,11.18,11.37,11.040968,5759400
35,2021-02-24,11.29,11.45,11.21,11.41,11.079811,4478100
36,2021-02-25,11.4,11.49,11.26,11.34,11.011836,4083200
37,2021-02-26,11.28,11.34,10.92,10.94,10.623411,7559300
38,2021-03-01,11.09,11.4,11.07,11.29,10.963283,4695300
39,2021-03-02,11.25,11.51,11.19,11.43,11.099232,6094900
40,2021-03-03,11.42,11.54,11.31,11.47,11.138075,5313200
41,2021-03-04,11.5,11.59,11.14,11.27,10.943863,7405300
42,2021-03-05,11.31,11.63,11.21,11.61,11.274022,5394800
43,2021-03-08,11.66,11.98,11.59,11.76,11.419682,6761200
44,2021-03-09,11.76,11.83,11.65,11.75,11.409971,8763700
45,2021-03-10,11.75,12.02,11.64,11.93,11.584763,5984600
46,2021-03-11,11.89,11.91,11.68,11.73,11.39055,6006800
47,2021-03-12,11.81,11.84,11.7,11.77,11.429394,4124800
48,2021-03-15,11.65,11.77,11.59,11.76,11.419682,7159000
49,2021-03-16,11.75,11.77,11.48,11.5,11.167206,7171200
50,2021-03-17,11.53,11.68,11.43,11.64,11.303154,5512700
51,2021-03-18,11.6,11.61,11.34,11.36,11.031257,7438900
52,2021-03-19,11.28,11.51,10.33,11.3,10.972994,36593500
53,2021-03-22,11.25,11.49,11.13,11.41,11.079811,7657600
54,2021-03-23,11.36,11.58,11.28,11.37,11.040968,7927200
55,2021-03-24,11.36,11.47,11.3,11.31,10.982704,6059700
56,2021-03-25,11.35,11.65,11.24,11.58,11.244891,5450700
57,2021-03-26,11.61,11.79,11.54,11.78,11.439103,5173000
58,2021-03-29,11.68,11.88,11.65,11.8,11.458525,6208100
59,2021-03-30,11.73,11.79,11.65,11.74,11.40026,4775100
60,2021-03-31,11.75,11.77,11.48,11.68,11.341998,7359100
61,2021-04-01,11.68,11.68,11.36,11.66,11.322576,6316100
62,2021-04-05,11.74,11.91,11.67,11.89,11.54592,4262800
63,2021-04-06,11.81,11.98,11.78,11.98,11.633315,4286200
64,2021-04-07,11.91,11.91,11.59,11.63,11.293445,5832000
65,2021-04-08,11.55,11.67,11.53,11.57,11.23518,3641200
66,2021-04-09,11.69,11.75,11.58,11.73,11.39055,3323900
67,2021-04-12,11.76,11.83,11.67,11.72,11.38084,3723200
68,2021-04-13,11.67,11.83,11.61,11.78,11.439103,6517600
69,2021-04-14,11.76,11.82,11.66,11.74,11.40026,3517800
70,2021-04-15,11.84,11.94,11.73,11.89,11.54592,3220100
71,2021-04-16,11.99,12.07,11.88,11.95,11.604183,6645900
72,2021-04-19,11.97,11.98,11.76,11.86,11.516788,3717500
73,2021-04-20,11.88,11.92,11.79,11.86,11.516788,4084700
74,2021-04-21,11.85,12.01,11.83,11.94,11.594472,4227700
75,2021-04-22,11.88,11.92,11.64,11.65,11.312865,5575100
76,2021-04-23,11.67,11.79,11.64,11.73,11.39055,5480300
77,2021-04-26,11.79,11.85,11.71,11.74,11.40026,3989300
78,2021-04-27,11.68,11.7,11.59,11.67,11.332286,4486000
79,2021-04-28,11.72,11.85,11.68,11.69,11.351707,3797400
80,2021-04-29,11.81,11.91,11.73,11.89,11.54592,4871900
81,2021-04-30,11.88,11.88,11.66,11.75,11.409971,13108700
82,2021-05-03,11.75,11.91,11.72,11.79,11.448812,7715100
83,2021-05-04,11.86,12.5,11.86,12.43,12.070293,11810800
84,2021-05-05,12.1,12.31,12.04,12.28,11.924634,8401500
85,2021-05-06,12.33,12.51,12.27,12.49,12.128556,6166300
86,2021-05-07,12.49,12.52,12.31,12.45,12.089714,5196000
87,2021-05-10,12.57,12.76,12.45,12.45,12.089714,6742900
88,2021-05-11,12.45,12.54,12.31,12.4,12.041161,4750300
89,2021-05-12,12.37,12.45,12.13,12.15,11.798396,5478100
90,2021-05-13,12.12,12.46,12.07,12.38,12.02174,7088100
91,2021-05-14,12.38,12.47,12.34,12.37,12.01203,4264300
92,2021-05-17,12.38,12.41,12.24,12.29,11.934343,5526200
93,2021-05-18,12.24,12.34,12.17,12.19,11.837237,4336200
94,2021-05-19,12.13,12.15,11.93,12.01,11.662448,4885800
95,2021-05-20,11.95,12.09,11.95,11.99,11.643025,5033400
96,2021-05-21,11.99,12.12,11.94,11.98,11.633315,4193200
97,2021-05-24,12.06,12.11,11.9,11.94,11.594472,3735800
98,2021-05-25,11.77,11.85,11.69,11.72,11.494437,6755100
99,2021-05-26,11.66,11.8,11.66,11.78,11.553281,7303000
100,2021-05-27,11.8,11.89,11.77,11.88,11.651357,15849800
101,2021-05-28,11.84,11.87,11.72,11.8,11.572897,8493000
102,2021-06-01,11.9,11.95,11.73,11.89,11.661165,5356400
103,2021-06-02,11.94,11.97,11.81,11.86,11.631741,4880400
104,2021-06-03,11.82,11.94,11.77,11.94,11.710202,7285700
105,2021-06-04,11.98,12.28,11.97,12.15,11.916161,9596900
106,2021-06-07,12.15,12.17,12.01,12.1,11.867123,9468400
107,2021-06-08,12.09,12.19,12.02,12.08,11.847507,5111800
108,2021-06-09,12.08,12.17,11.98,12.07,11.8377,7003700
109,2021-06-10,12.11,12.18,12.0,12.07,11.8377,4352700
110,2021-06-11,12.13,12.25,12.07,12.24,12.004428,4513400
111,2021-06-14,12.25,12.29,12.11,12.15,11.916161,4151400
112,2021-06-15,12.09,12.12,11.94,12.01,11.778855,6809600
113,2021-06-16,12.05,12.07,11.81,11.82,11.592511,4229900
114,2021-06-17,11.8,11.85,11.45,11.54,11.317901,4698500
115,2021-06-18,11.5,11.53,11.28,11.36,11.141364,12988800
116,2021-06-21,11.47,11.59,11.44,11.47,11.249248,5341000
117,2021-06-22,11.5,11.62,11.43,11.54,11.317901,3686400
118,2021-06-23,11.61,11.64,11.48,11.49,11.268863,5920800
119,2021-06-24,11.53,11.56,11.4,11.52,11.298285,3269700
120,2021-06-25,11.6,11.69,11.53,11.61,11.386553,11200100
121,2021-06-28,11.65,11.68,11.48,11.55,11.327707,4043700
122,2021-06-29,11.53,11.6,11.44,11.46,11.23944,4248000
123,2021-06-30,11.41,11.52,11.33,11.46,11.23944,6373500
124,2021-07-01,11.58,11.64,11.51,11.56,11.337516,5376600
125,2021-07-02,11.53,11.55,11.41,11.54,11.317901,3846600
126,2021-07-06,11.5,11.54,11.26,11.44,11.219825,4881500
127,2021-07-07,11.4,11.62,11.39,11.55,11.327707,5723300
128,2021-07-08,11.45,11.51,11.36,11.39,11.170788,4572800
