,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,71.120003,71.839996,63.080002,63.639999,63.639999,992700
1,2021-01-05,63.220001,65.879997,62.737999,65.050003,65.050003,727100
2,2021-01-06,64.669998,65.945,63.389999,64.230003,64.230003,565800
3,2021-01-07,64.870003,65.800003,64.305,64.809998,64.809998,787200
4,2021-01-08,65.139999,66.629997,62.939999,65.510002,65.510002,600800
5,2021-01-11,66.0,68.93,65.089996,68.580002,68.580002,578100
6,2021-01-12,68.889999,69.589996,67.57,68.639999,68.639999,511800
7,2021-01-13,68.639999,69.114998,65.400002,65.68,65.68,1052400
8,2021-01-14,65.0,70.010002,64.694,69.730003,69.730003,847600
9,2021-01-15,69.07,70.0,66.900002,68.610001,68.610001,435500
10,2021-01-19,69.809998,69.879997,68.394997,69.379997,69.379997,510000
11,2021-01-20,69.529999,71.400002,67.480003,67.709999,67.709999,627100
12,2021-01-21,68.290001,68.379997,65.879997,66.440002,66.440002,446000
13,2021-01-22,65.489998,69.580002,64.699997,69.480003,69.480003,587500
14,2021-01-25,67.459999,68.504997,62.810001,65.790001,65.790001,2424700
15,2021-01-26,65.480003,65.910004,60.279999,62.330002,62.330002,4700800
16,2021-01-27,60.529999,60.869999,55.189999,55.470001,55.470001,3013000
17,2021-01-28,56.84,57.259998,55.34,56.299999,56.299999,1400500
18,2021-01-29,56.639999,57.439999,54.349998,56.759998,56.759998,1332700
19,2021-02-01,57.009998,57.970001,55.23,57.43,57.43,1177100
20,2021-02-02,58.939999,63.450001,58.619999,63.009998,63.009998,1227900
21,2021-02-03,63.5,64.199997,62.32,62.98,62.98,973000
22,2021-02-04,63.470001,64.75,62.529999,64.510002,64.510002,591000
23,2021-02-05,65.0,68.32,64.470001,68.279999,68.279999,1509300
24,2021-02-08,68.93,72.730003,67.809998,72.349998,72.349998,1578500
25,2021-02-09,72.82,73.5,70.660004,70.849998,70.849998,726900
26,2021-02-10,71.279999,72.389999,68.25,68.870003,68.870003,953900
27,2021-02-11,69.699997,69.989998,66.330002,67.269997,67.269997,446100
28,2021-02-12,68.480003,71.25,66.739998,67.360001,67.360001,1722500
29,2021-02-16,67.660004,69.209999,64.510002,64.980003,64.980003,874500
30,2021-02-17,64.349998,65.476997,63.615002,64.720001,64.720001,847600
31,2021-02-18,63.650002,64.480003,62.02,63.849998,63.849998,897200
32,2021-02-19,66.0,69.260002,64.849998,66.68,66.68,1050300
33,2021-02-22,66.68,68.669998,64.860001,65.669998,65.669998,644600
34,2021-02-23,64.910004,66.5,62.66,65.940002,65.940002,1150900
35,2021-02-24,65.849998,68.300003,65.029999,67.410004,67.410004,1081400
36,2021-02-25,67.860001,69.485001,64.099998,65.129997,65.129997,2175800
37,2021-02-26,65.400002,71.760002,64.410004,70.68,70.68,3058000
38,2021-03-01,72.470001,72.82,69.199997,71.910004,71.910004,1166000
39,2021-03-02,69.279999,71.010002,66.080002,66.169998,66.169998,829600
40,2021-03-03,65.720001,67.379997,63.740002,63.900002,63.900002,1103000
41,2021-03-04,63.48,65.019997,59.650002,62.52,62.52,1028900
42,2021-03-05,63.0,63.0,57.709999,62.220001,62.220001,865900
43,2021-03-08,62.889999,64.290001,59.285,59.48,59.48,876700
44,2021-03-09,60.810001,65.5,60.040001,64.900002,64.900002,1113900
45,2021-03-10,65.5,69.900002,65.5,69.720001,69.720001,1215100
46,2021-03-11,70.709999,72.970001,69.080002,71.220001,71.220001,777500
47,2021-03-12,70.379997,72.074997,69.0,70.940002,70.940002,346300
48,2021-03-15,70.279999,71.639999,69.25,69.889999,69.889999,461300
49,2021-03-16,70.040001,70.709999,67.220001,68.050003,68.050003,841000
50,2021-03-17,67.139999,68.989998,66.279999,68.620003,68.620003,709500
51,2021-03-18,68.599998,68.668999,63.310001,63.470001,63.470001,579800
52,2021-03-19,64.019997,68.0,63.34,67.660004,67.660004,2232700
53,2021-03-22,70.410004,71.0,66.160004,69.110001,69.110001,994900
54,2021-03-23,68.120003,69.190002,65.339996,65.790001,65.790001,813700
55,2021-03-24,66.339996,66.93,61.27,61.27,61.27,629900
56,2021-03-25,60.349998,63.470001,60.200001,63.139999,63.139999,372400
57,2021-03-26,63.299999,63.689999,60.259998,60.82,60.82,851500
58,2021-03-29,60.220001,60.485001,57.0,57.099998,57.099998,672400
59,2021-03-30,56.849998,60.110001,56.310001,59.119999,59.119999,772100
60,2021-03-31,59.369999,62.0,59.220001,61.599998,61.599998,554800
61,2021-04-01,62.490002,63.130001,59.040001,59.360001,59.360001,782700
62,2021-04-05,60.220001,60.5,58.009998,58.990002,58.990002,403200
63,2021-04-06,57.310001,59.689999,57.310001,57.75,57.75,645300
64,2021-04-07,57.509998,59.139999,55.880001,56.060001,56.060001,786100
65,2021-04-08,57.040001,58.459999,56.384998,58.119999,58.119999,347100
66,2021-04-09,57.540001,58.080002,54.014999,54.490002,54.490002,1544500
67,2021-04-12,54.32,54.549999,53.560001,53.959999,53.959999,546900
68,2021-04-13,54.189999,55.5,52.959999,54.599998,54.599998,998100
69,2021-04-14,54.93,58.34,54.93,55.75,55.75,1362800
70,2021-04-15,55.759998,57.07,54.23,54.950001,54.950001,814500
71,2021-04-16,55.869999,56.119999,53.990002,55.119999,55.119999,510900
72,2021-04-19,54.389999,56.209999,54.130001,55.509998,55.509998,685300
73,2021-04-20,55.009998,56.474998,53.400002,54.119999,54.119999,397500
74,2021-04-21,53.419998,55.419998,53.110001,55.310001,55.310001,376300
75,2021-04-22,55.27,57.139999,54.23,55.900002,55.900002,426100
76,2021-04-23,56.16,56.505001,53.945,54.470001,54.470001,651400
77,2021-04-26,55.139999,56.009998,54.490002,55.82,55.82,370500
78,2021-04-27,55.849998,56.154999,54.32,55.32,55.32,369200
79,2021-04-28,55.049999,56.77,54.549999,56.23,56.23,411700
80,2021-04-29,56.349998,56.365002,54.384998,55.27,55.27,326300
81,2021-04-30,54.610001,56.549999,54.610001,55.919998,55.919998,684200
82,2021-05-03,56.5,56.549999,53.810001,55.369999,55.369999,600200
83,2021-05-04,55.349998,55.349998,53.009998,54.0,54.0,593300
84,2021-05-05,53.799999,54.860001,52.279999,52.939999,52.939999,955100
85,2021-05-06,52.560001,52.610001,48.68,49.59,49.59,1678900
86,2021-05-07,49.209999,50.650002,47.639999,48.029999,48.029999,729200
87,2021-05-10,47.470001,47.630001,45.77,46.470001,46.470001,928500
88,2021-05-11,44.939999,49.93,44.939999,49.130001,49.130001,761200
89,2021-05-12,48.73,51.279999,48.415001,49.48,49.48,867400
90,2021-05-13,49.669998,51.860001,49.650002,50.720001,50.720001,923000
91,2021-05-14,50.880001,53.939999,50.880001,53.66,53.66,708600
92,2021-05-17,53.150002,54.380001,51.799999,54.130001,54.130001,729300
93,2021-05-18,54.330002,56.290001,54.084999,55.73,55.73,1180300
94,2021-05-19,55.0,55.91,53.740002,54.970001,54.970001,687100
95,2021-05-20,55.119999,57.599998,53.98,57.220001,57.220001,592300
96,2021-05-21,58.799999,59.610001,57.57,57.900002,57.900002,929800
97,2021-05-24,58.189999,58.314999,55.799999,56.959999,56.959999,622900
98,2021-05-25,57.540001,58.23,56.619999,57.68,57.68,490600
99,2021-05-26,58.110001,59.279999,57.43,58.630001,58.630001,492500
100,2021-05-27,58.919998,58.919998,56.540001,57.990002,57.990002,1029700
101,2021-05-28,58.16,59.66,57.040001,59.200001,59.200001,444000
102,2021-06-01,59.720001,60.68,58.599998,60.369999,60.369999,910900
103,2021-06-02,60.5,60.886002,58.013,59.41,59.41,865900
104,2021-06-03,59.200001,59.720001,57.139999,58.810001,58.810001,557700
105,2021-06-04,59.200001,59.810001,57.450001,57.959999,57.959999,525800
106,2021-06-07,58.25,63.189999,57.68,61.950001,61.950001,1844800
107,2021-06-08,62.0,63.32,60.639999,62.330002,62.330002,896800
108,2021-06-09,62.68,63.189999,60.639999,61.349998,61.349998,703200
109,2021-06-10,61.599998,63.259998,60.84,62.299999,62.299999,1088300
110,2021-06-11,61.599998,64.139999,61.349998,63.93,63.93,556000
111,2021-06-14,64.059998,64.18,61.73,63.740002,63.740002,1106000
112,2021-06-15,63.599998,63.68,61.299999,62.470001,62.470001,826500
113,2021-06-16,61.919998,64.610001,61.880001,63.18,63.18,1676400
114,2021-06-17,62.610001,64.029999,61.0,62.630001,62.630001,2229600
115,2021-06-18,61.369999,62.695,59.830002,61.330002,61.330002,2194100
116,2021-06-21,61.720001,63.779999,61.290001,63.130001,63.130001,1476500
117,2021-06-22,62.869999,63.349998,60.0,60.34,60.34,1296600
118,2021-06-23,60.130001,60.625,58.959999,59.349998,59.349998,1099900
119,2021-06-24,59.810001,60.799999,58.380001,59.5,59.5,669000
120,2021-06-25,59.560001,60.630001,58.580002,60.450001,60.450001,2769100
121,2021-06-28,60.0,60.459999,57.349998,59.389999,59.389999,864700
122,2021-06-29,59.66,60.560001,58.630001,60.119999,60.119999,879300
123,2021-06-30,61.044998,61.799999,59.639999,60.959999,60.959999,447900
124,2021-07-01,61.389999,64.050003,60.959999,63.610001,63.610001,531700
125,2021-07-02,63.900002,64.529999,62.799999,63.849998,63.849998,492000
126,2021-07-06,64.110001,64.400002,62.889999,64.239998,64.239998,451500
127,2021-07-07,64.029999,65.330002,63.490002,64.110001,64.110001,1024600
128,2021-07-08,63.0,64.370003,62.700001,63.950001,63.950001,494300
129,2021-07-09,64.300003,64.709999,63.669998,64.169998,64.169998,627200
