,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,44.75,44.75,40.330002,40.59,40.59,4898500
1,2021-01-05,40.599998,41.240002,40.490002,41.110001,41.110001,3398900
2,2021-01-06,40.290001,44.029999,40.25,42.700001,42.700001,38737000
3,2021-01-07,43.970001,45.610001,43.610001,44.779999,44.779999,3397900
4,2021-01-08,44.959999,45.77,44.299999,45.09,45.09,2906900
5,2021-01-11,44.84,45.73,44.060001,45.529999,45.529999,1992100
6,2021-01-12,45.290001,46.669998,44.900002,46.540001,46.540001,1605200
7,2021-01-13,46.060001,46.790001,45.549999,45.560001,45.560001,1658300
8,2021-01-14,46.080002,46.5,43.5,43.610001,43.610001,2296900
9,2021-01-15,43.130001,43.75,41.869999,42.849998,42.849998,3002600
10,2021-01-19,42.599998,43.32,41.5,42.580002,42.580002,3143500
11,2021-01-20,42.869999,43.889999,42.5,43.580002,43.580002,1847000
12,2021-01-21,44.990002,45.360001,43.599998,43.639999,43.639999,2948900
13,2021-01-22,42.970001,44.790001,42.810001,44.34,44.34,1867100
14,2021-01-25,43.799999,44.549999,42.130001,43.220001,43.220001,2212100
15,2021-01-26,43.91,43.970001,41.450001,42.450001,42.450001,2365600
16,2021-01-27,41.07,42.5,40.450001,40.91,40.91,3402500
17,2021-01-28,41.799999,43.349998,41.5,42.560001,42.560001,2319700
18,2021-01-29,43.02,43.189999,41.049999,41.66,41.66,2826300
19,2021-02-01,42.130001,42.259998,40.529999,41.650002,41.650002,2112700
20,2021-02-02,41.73,43.0,41.73,42.73,42.73,2514200
21,2021-02-03,44.75,45.959999,42.5,43.810001,43.810001,7448300
22,2021-02-04,44.110001,46.77,44.009998,45.560001,45.560001,4461600
23,2021-02-05,45.959999,46.98,45.150002,46.099998,46.099998,2300900
24,2021-02-08,46.18,47.09,45.540001,46.560001,46.560001,2098700
25,2021-02-09,45.970001,46.970001,44.599998,44.619999,44.619999,3014500
26,2021-02-10,44.810001,45.709999,43.849998,45.189999,45.189999,2108900
27,2021-02-11,45.48,46.619999,45.040001,45.540001,45.540001,1539000
28,2021-02-12,44.880001,46.049999,44.639999,46.009998,46.009998,2030000
29,2021-02-16,46.310001,47.650002,45.990002,46.759998,46.759998,2760900
30,2021-02-17,46.799999,46.799999,44.75,45.860001,45.860001,1672200
31,2021-02-18,45.080002,45.490002,43.459999,44.240002,44.240002,2482400
32,2021-02-19,44.740002,45.919998,44.369999,45.889999,45.889999,2933200
33,2021-02-22,45.700001,48.330002,45.380001,47.189999,47.189999,3173500
34,2021-02-23,46.59,47.25,44.59,46.860001,46.860001,2679700
35,2021-02-24,46.68,48.700001,46.139999,47.790001,47.790001,2269000
36,2021-02-25,47.610001,48.299999,45.91,46.599998,46.599998,1838900
37,2021-02-26,46.860001,47.450001,45.240002,46.669998,46.669998,1907700
38,2021-03-01,47.709999,48.82,47.5,48.259998,48.259998,1452800
39,2021-03-02,47.91,48.52,47.490002,47.919998,47.919998,1179100
40,2021-03-03,48.110001,49.060001,47.799999,47.93,47.93,1532800
41,2021-03-04,48.0,48.880001,44.880001,46.439999,46.439999,2222000
42,2021-03-05,46.77,47.919998,44.25,47.700001,47.700001,1438400
43,2021-03-08,48.52,52.959999,48.48,52.389999,52.389999,4831600
44,2021-03-09,52.34,54.360001,51.599998,53.57,53.57,2814000
45,2021-03-10,53.299999,54.099998,52.650002,53.860001,53.860001,2404600
46,2021-03-11,54.0,54.43,53.029999,54.259998,54.259998,1818300
47,2021-03-12,54.0,54.889999,53.580002,54.060001,54.060001,1420400
48,2021-03-15,54.369999,56.939999,54.349998,56.639999,56.639999,1817300
49,2021-03-16,56.119999,56.119999,54.009998,55.650002,55.650002,1962000
50,2021-03-17,55.84,56.900002,55.32,56.34,56.34,1761600
51,2021-03-18,57.0,58.580002,55.169998,55.540001,55.540001,2951100
52,2021-03-19,55.389999,56.790001,54.0,55.189999,55.189999,2178100
53,2021-03-22,54.939999,55.16,52.860001,53.290001,53.290001,2331800
54,2021-03-23,52.650002,53.02,48.950001,49.43,49.43,3446600
55,2021-03-24,50.48,51.91,47.830002,48.150002,48.150002,2671700
56,2021-03-25,46.5,49.860001,45.700001,49.299999,49.299999,2807400
57,2021-03-26,50.169998,51.310001,48.41,50.18,50.18,2186400
58,2021-03-29,49.75,50.310001,46.849998,47.310001,47.310001,2073000
59,2021-03-30,47.57,50.009998,47.169998,49.830002,49.830002,1680600
60,2021-03-31,49.950001,51.48,49.779999,51.0,51.0,1840200
61,2021-04-01,51.200001,51.5,49.220001,49.380001,49.380001,2238200
62,2021-04-05,50.099998,50.720001,48.599998,50.200001,50.200001,1901300
63,2021-04-06,50.43,51.509998,50.110001,50.400002,50.400002,1432500
64,2021-04-07,50.360001,51.130001,49.619999,50.740002,50.740002,1461500
65,2021-04-08,50.52,52.439999,49.759998,52.18,52.18,2890400
66,2021-04-09,52.650002,53.84,51.709999,53.529999,53.529999,1648600
67,2021-04-12,53.0,54.419998,52.790001,53.900002,53.900002,1214900
68,2021-04-13,53.360001,53.52,50.84,52.82,52.82,2458900
69,2021-04-14,52.779999,54.02,52.400002,52.509998,52.509998,868500
70,2021-04-15,53.209999,54.630001,52.540001,53.599998,53.599998,2050800
71,2021-04-16,54.029999,54.240002,52.560001,53.830002,53.830002,1580000
72,2021-04-19,53.240002,53.549999,51.880001,52.18,52.18,1361900
73,2021-04-20,51.75,52.09,49.540001,50.630001,50.630001,1423400
