,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,33.580002,33.689999,32.310001,32.330002,31.594124,1072900
1,2021-01-05,32.189999,32.669998,31.799999,31.870001,31.144592,1229700
2,2021-01-06,31.879999,32.93,31.440001,32.91,32.160919,2682400
3,2021-01-07,32.959999,33.16,32.580002,33.16,32.405228,2454700
4,2021-01-08,33.360001,33.919998,33.150002,33.709999,32.942711,1067900
5,2021-01-11,33.560001,33.880001,33.209999,33.459999,32.698399,985200
6,2021-01-12,33.349998,33.830002,33.200001,33.68,32.913395,778300
7,2021-01-13,33.880001,34.27,33.709999,33.900002,33.128387,1756800
8,2021-01-14,33.939999,33.939999,33.419998,33.810001,33.04044,670400
9,2021-01-15,33.919998,34.450001,33.68,34.439999,33.656094,906200
10,2021-01-19,34.509998,34.509998,33.919998,34.07,33.294518,916400
11,2021-01-20,34.07,34.91,33.84,34.77,33.978584,1384700
12,2021-01-21,34.73,34.93,34.349998,34.790001,33.998131,742700
13,2021-01-22,34.689999,35.130001,34.41,34.970001,34.174034,829200
14,2021-01-25,34.970001,35.580002,34.68,35.299999,34.496521,1019600
15,2021-01-26,35.290001,35.759998,35.16,35.549999,34.740826,764300
16,2021-01-27,35.459999,35.700001,35.139999,35.619999,34.809235,1340100
17,2021-01-28,35.790001,35.790001,34.75,34.75,33.959038,1137400
18,2021-01-29,34.59,35.299999,34.389999,34.84,34.046989,1357500
19,2021-02-01,34.93,35.57,34.48,35.57,34.760372,912500
20,2021-02-02,35.57,35.650002,35.150002,35.490002,34.682198,850100
21,2021-02-03,35.32,35.709999,34.84,35.619999,34.809235,729600
22,2021-02-04,35.369999,36.07,35.16,35.369999,34.564926,1736500
23,2021-02-05,35.349998,35.5,35.02,35.290001,34.486748,780000
24,2021-02-08,35.290001,35.810001,34.959999,35.75,34.936279,940200
25,2021-02-09,35.75,36.599998,35.540001,36.5,35.669205,991400
26,2021-02-10,36.630001,36.950001,36.040001,36.310001,35.483532,1033000
27,2021-02-11,36.279999,36.43,35.700001,35.950001,35.131725,916400
28,2021-02-12,35.810001,35.869999,35.43,35.869999,35.053547,1179800
29,2021-02-16,35.75,35.790001,35.040001,35.77,34.955822,1129100
30,2021-02-17,35.939999,36.02,35.459999,35.91,35.092632,1221700
31,2021-02-18,35.84,36.259998,35.77,35.98,35.161041,1203100
32,2021-02-19,36.049999,36.470001,35.810001,36.439999,35.610573,861500
33,2021-02-22,36.439999,36.630001,35.860001,36.41,35.581253,952500
34,2021-02-23,36.639999,37.77,36.529999,37.599998,36.744164,1250500
35,2021-02-24,37.650002,38.439999,37.48,38.040001,37.174152,1635500
36,2021-02-25,37.990002,39.029999,37.98,38.560001,37.682316,1827500
37,2021-02-26,37.959999,39.240002,36.939999,36.959999,36.118736,2339200
38,2021-03-01,37.189999,37.77,36.470001,36.470001,35.639889,2377100
39,2021-03-02,36.34,36.650002,35.939999,36.200001,35.376034,2179400
40,2021-03-03,36.150002,36.200001,35.549999,35.84,35.024231,1257000
41,2021-03-04,35.93,36.34,34.959999,35.41,34.604015,1515600
42,2021-03-05,35.689999,36.459999,35.23,36.459999,35.630112,1276000
43,2021-03-08,36.639999,37.529999,36.369999,37.110001,36.265324,851200
44,2021-03-09,37.200001,37.540001,36.98,37.040001,36.196915,656200
45,2021-03-10,37.139999,37.740002,37.040001,37.580002,36.724621,764500
46,2021-03-11,37.310001,37.82,37.130001,37.150002,36.304413,616700
47,2021-03-12,37.240002,37.970001,37.060001,37.970001,37.105747,1232100
48,2021-03-15,38.130001,38.709999,38.0,38.52,37.64323,764200
49,2021-03-16,38.619999,38.68,38.25,38.48,37.604137,888900
50,2021-03-17,38.290001,38.470001,37.599998,37.889999,37.027569,642900
51,2021-03-18,37.779999,38.029999,37.349998,38.009998,37.144833,903600
52,2021-03-19,37.93,37.990002,36.509998,36.540001,35.708298,2021700
53,2021-03-22,36.389999,37.16,36.27,37.049999,36.206688,767600
54,2021-03-23,37.139999,37.93,37.040001,37.700001,36.841896,903300
55,2021-03-24,37.700001,37.900002,37.419998,37.470001,36.61713,1225300
56,2021-03-25,37.41,37.869999,36.610001,37.700001,36.841896,1264000
57,2021-03-26,37.869999,38.360001,37.669998,38.139999,37.271873,1431600
58,2021-03-29,38.23,38.779999,37.919998,38.52,37.64323,797300
59,2021-03-30,38.57,38.669998,38.27,38.349998,37.477097,720400
60,2021-03-31,37.950001,38.529999,37.549999,37.830002,37.299625,1325200
61,2021-04-01,38.330002,38.77,37.830002,38.77,38.22644,1073000
62,2021-04-05,38.75,38.990002,38.490002,38.849998,38.305317,797900
63,2021-04-06,38.77,39.23,38.68,39.200001,38.650414,947100
64,2021-04-07,39.25,39.66,38.790001,39.5,38.946209,1031100
65,2021-04-08,39.5,39.91,39.330002,39.41,38.857468,834700
66,2021-04-09,39.529999,39.75,39.349998,39.57,39.015228,819600
67,2021-04-12,39.669998,39.880001,39.41,39.82,39.261723,709600
68,2021-04-13,39.939999,40.669998,39.939999,40.560001,39.991348,1588900
69,2021-04-14,40.549999,40.549999,40.099998,40.119999,39.557514,679000
70,2021-04-15,40.259998,40.68,40.209999,40.650002,40.080086,602400
71,2021-04-16,40.889999,40.900002,40.560001,40.610001,40.040646,649500
