,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,6.14,6.32,6.11,6.18,6.137386,13539400
1,2021-01-05,6.3,6.68,6.27,6.64,6.594214,23123400
2,2021-01-06,6.71,6.82,6.54,6.7,6.6538,15871300
3,2021-01-07,6.79,6.9,6.71,6.81,6.763042,14426400
4,2021-01-08,6.9,6.93,6.49,6.53,6.484973,11051400
5,2021-01-11,6.33,6.45,6.25,6.44,6.395594,11977600
6,2021-01-12,6.52,6.54,6.35,6.36,6.316145,11130300
7,2021-01-13,6.37,6.38,6.14,6.16,6.117524,11391500
8,2021-01-14,6.25,6.61,6.18,6.52,6.475042,10271300
9,2021-01-15,6.49,6.49,6.12,6.13,6.087731,14182500
10,2021-01-19,6.15,6.23,6.06,6.19,6.147317,11646800
11,2021-01-20,6.24,6.35,6.17,6.2,6.157248,6292200
12,2021-01-21,6.22,6.22,5.94,6.13,6.087731,10275100
13,2021-01-22,5.95,6.05,5.81,5.88,5.839455,9623700
14,2021-01-25,5.81,5.95,5.7,5.93,5.88911,8309800
15,2021-01-26,6.01,6.08,5.67,5.76,5.720283,9277000
16,2021-01-27,5.65,5.91,5.56,5.75,5.710351,9098600
17,2021-01-28,5.83,5.98,5.71,5.9,5.859317,10647100
18,2021-01-29,5.86,6.04,5.81,5.91,5.869248,17257300
19,2021-02-01,6.03,6.28,5.94,6.22,6.177111,11736000
20,2021-02-02,6.44,6.46,6.17,6.19,6.147317,8807400
21,2021-02-03,6.25,6.52,6.21,6.45,6.405524,10756200
22,2021-02-04,6.55,6.55,6.21,6.31,6.26649,11873000
23,2021-02-05,6.43,6.43,6.24,6.35,6.306214,11333800
24,2021-02-08,6.46,6.51,6.34,6.46,6.415456,14296000
25,2021-02-09,6.35,6.38,6.07,6.21,6.16718,13933000
26,2021-02-10,6.28,6.69,6.23,6.68,6.633938,12555100
27,2021-02-11,6.7,6.89,6.53,6.56,6.514766,8038300
28,2021-02-12,6.49,6.75,6.47,6.75,6.703456,7171400
29,2021-02-16,6.94,7.02,6.79,6.94,6.892146,16949800
30,2021-02-17,6.93,7.01,6.69,6.94,6.892146,8123600
31,2021-02-18,6.9,6.97,6.78,6.78,6.733249,5883700
32,2021-02-19,6.84,6.95,6.8,6.9,6.852422,5119900
33,2021-02-22,6.93,7.38,6.91,7.19,7.140421,13256700
