,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,15.06,15.68,14.7,14.81,13.293618,467800
1,2021-01-05,15.02,16.15,15.02,15.57,13.975801,642900
2,2021-01-06,16.07,16.17,14.91,15.41,13.832184,578400
3,2021-01-07,15.58,16.280001,15.04,16.08,14.433583,806000
4,2021-01-08,16.309999,17.389999,16.0,16.219999,14.559248,1364700
5,2021-01-11,15.61,16.969999,15.44,16.950001,15.214505,597200
6,2021-01-12,17.26,18.059999,16.860001,17.91,16.076212,823000
7,2021-01-13,17.83,17.84,16.950001,17.200001,15.438909,480300
8,2021-01-14,17.27,18.790001,17.209999,18.620001,16.713516,687800
9,2021-01-15,18.32,18.870001,18.07,18.5,16.605803,662200
10,2021-01-19,19.0,19.459999,18.85,19.379999,17.395699,765900
11,2021-01-20,19.5,19.700001,18.9,19.620001,17.611126,635200
12,2021-01-21,19.620001,19.879999,18.32,18.690001,16.776348,497000
13,2021-01-22,18.120001,18.799999,17.950001,18.77,16.848158,366700
14,2021-01-25,18.51,19.0,17.799999,18.91,16.973822,598000
15,2021-01-26,19.0,19.73,18.17,18.190001,16.327543,499500
16,2021-01-27,17.76,19.99,17.559999,19.24,17.270033,1039600
17,2021-01-28,19.389999,20.09,17.969999,18.389999,16.507065,604000
18,2021-01-29,18.110001,18.85,17.0,17.1,15.349147,567400
19,2021-02-01,17.389999,17.530001,16.440001,16.940001,15.205529,458800
20,2021-02-02,17.459999,17.77,17.030001,17.09,15.340171,606100
21,2021-02-03,17.17,17.950001,17.08,17.93,16.094164,651500
22,2021-02-04,18.209999,18.42,17.74,18.24,16.372423,371900
23,2021-02-05,18.5,18.690001,18.16,18.309999,16.435255,250700
24,2021-02-08,18.690001,19.23,18.530001,19.120001,17.162321,338300
25,2021-02-09,18.9,18.9,18.1,18.42,16.533993,410300
26,2021-02-10,18.52,19.190001,18.4,19.040001,17.090513,496600
27,2021-02-11,18.9,19.299999,18.639999,19.15,17.189249,588000
28,2021-02-12,18.91,19.629999,18.91,19.610001,17.60215,392500
29,2021-02-16,20.0,21.370001,19.99,21.120001,18.957542,768100
30,2021-02-17,21.75,22.0,21.27,21.700001,19.478157,659900
31,2021-02-18,21.5,21.799999,20.780001,21.16,18.993446,459800
32,2021-02-19,21.32,22.969999,21.32,22.9,20.55529,520600
33,2021-02-22,23.719999,24.950001,23.370001,24.5,21.991467,911900
34,2021-02-23,24.43,25.33,21.73,24.25,21.767065,1360300
35,2021-02-24,23.700001,24.120001,22.940001,23.209999,20.833548,1111200
36,2021-02-25,23.129999,23.549999,22.459999,22.99,20.636074,504800
37,2021-02-26,22.549999,22.969999,21.290001,22.08,19.819248,581400
38,2021-03-01,22.9,23.139999,21.549999,22.030001,19.774368,562200
39,2021-03-02,21.92,22.549999,21.700001,21.73,19.505085,359200
40,2021-03-03,21.98,23.4,21.93,22.709999,20.384743,489100
41,2021-03-04,23.030001,23.879999,22.709999,23.83,21.390068,917600
42,2021-03-05,24.5,25.33,23.01,24.32,21.829897,722800
43,2021-03-08,24.709999,25.09,23.92,24.209999,21.731159,943800
44,2021-03-09,24.01,24.540001,23.16,23.200001,20.824574,536300
45,2021-03-10,23.129999,24.719999,22.719999,24.58,22.063276,472700
46,2021-03-11,24.83,27.02,24.610001,26.040001,23.373789,1252000
47,2021-03-12,26.190001,26.940001,25.219999,25.709999,23.077576,430400
48,2021-03-15,25.6,25.6,24.6,25.370001,22.772388,490400
49,2021-03-16,25.0,25.129999,24.209999,24.26,21.776041,434800
50,2021-03-17,24.290001,24.440001,23.4,23.99,21.533686,421900
51,2021-03-18,23.690001,23.75,21.17,21.33,19.14604,997900
52,2021-03-19,21.559999,22.059999,20.809999,21.66,19.442251,1124500
53,2021-03-22,21.57,21.700001,20.75,21.17,19.002422,542100
54,2021-03-23,20.5,20.940001,20.0,20.120001,18.059933,402800
55,2021-03-24,20.83,21.42,20.120001,20.129999,18.068907,466700
56,2021-03-25,19.799999,20.82,19.16,20.610001,18.499762,636700
57,2021-03-26,20.870001,21.190001,20.25,20.75,18.625425,397500
58,2021-03-29,20.299999,20.459999,19.76,19.959999,17.916313,631300
59,2021-03-30,19.66,20.08,19.25,19.459999,17.467506,652800
60,2021-03-31,19.299999,19.5,18.9,19.18,17.216177,488600
61,2021-04-01,19.41,20.6,19.110001,20.6,18.490786,678600
62,2021-04-05,20.51,20.51,19.23,19.6,17.593174,629700
63,2021-04-06,19.790001,20.27,19.27,19.51,17.512388,390400
64,2021-04-07,19.59,19.68,19.09,19.33,17.350819,405800
65,2021-04-08,19.129999,19.26,18.65,18.940001,17.000751,409100
66,2021-04-09,18.870001,19.15,18.43,18.48,16.587849,528300
67,2021-04-12,18.690001,19.040001,18.49,18.559999,16.659658,395500
68,2021-04-13,18.48,18.950001,18.030001,18.83,16.902014,661500
69,2021-04-14,19.07,20.309999,19.07,19.77,17.745768,622500
70,2021-04-15,19.73,19.799999,18.99,19.209999,17.243105,365500
71,2021-04-16,19.51,19.6,18.85,19.030001,17.081535,282200
72,2021-04-19,19.17,19.52,18.65,18.77,16.848158,441000
73,2021-04-20,18.58,18.68,17.809999,18.219999,16.354469,811100
74,2021-04-21,17.780001,18.870001,17.709999,18.73,16.812252,464300
75,2021-04-22,18.98,19.23,18.299999,18.93,16.991776,708900
76,2021-04-23,19.139999,19.719999,18.9,19.26,17.287987,470300
77,2021-04-26,19.219999,19.969999,19.16,19.870001,17.835529,321100
78,2021-04-27,19.959999,20.09,19.58,19.950001,17.907339,450600
79,2021-04-28,20.030001,21.59,19.85,21.58,19.370443,1005200
80,2021-04-29,21.950001,22.309999,21.200001,21.549999,19.343513,537400
81,2021-04-30,21.209999,21.74,21.110001,21.290001,19.110136,587800
82,2021-05-03,21.67,22.67,21.299999,22.469999,20.169317,769600
83,2021-05-04,22.549999,23.190001,21.450001,22.07,19.810272,779100
84,2021-05-05,17.76,18.67,17.67,18.549999,16.650682,846700
85,2021-05-06,23.440001,24.299999,21.51,22.219999,19.944914,2000400
86,2021-05-07,21.860001,23.549999,21.76,23.41,21.013071,773300
87,2021-05-10,23.52,23.98,21.85,21.870001,19.630751,717500
88,2021-05-11,21.190001,21.940001,20.780001,20.98,18.831877,683800
89,2021-05-12,22.959999,23.9,22.030001,22.77,20.438601,1652800
90,2021-05-13,22.66,23.43,21.549999,21.83,19.594847,905400
91,2021-05-14,22.52,23.280001,22.360001,23.040001,20.680956,1033300
92,2021-05-17,22.85,23.5,22.48,23.23,20.851501,746200
93,2021-05-18,23.48,23.67,22.41,22.49,20.187269,970100
94,2021-05-19,21.85,22.09,21.049999,21.76,19.532013,898500
95,2021-05-20,21.77,22.889999,21.01,22.620001,20.303959,1527400
96,2021-05-21,22.879999,24.32,22.790001,23.41,21.013071,899000
97,2021-05-24,23.66,24.139999,23.209999,23.35,20.959215,847000
98,2021-05-25,23.16,23.25,21.32,21.4,19.208874,1094100
99,2021-05-26,21.5,22.059999,21.280001,21.83,19.594847,758300
100,2021-05-27,21.85,22.49,21.620001,21.870001,19.630751,715600
101,2021-05-28,21.49,21.549999,20.67,20.75,18.625425,1495800
102,2021-06-01,21.26,21.889999,21.16,21.6,19.388395,888900
103,2021-06-02,21.9,22.93,21.4,22.639999,20.321911,839600
104,2021-06-03,22.459999,22.85,22.16,22.52,20.214197,526100
105,2021-06-04,22.82,23.23,22.450001,23.02,20.663004,531700
106,2021-06-07,22.950001,23.610001,22.93,23.25,20.869453,515100
107,2021-06-08,23.15,23.549999,22.58,23.290001,20.905359,688200
108,2021-06-09,23.440001,23.92,23.18,23.309999,20.923309,703100
